Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
Banjan Howrah,18806069,NEW,"27B, Bhadrakali, Hooghly, GT Road, Howrah",Bengali,-
Banjara Kolkata,23154,3.4,"5, Kashinath Dutta Road, Sinthi, Kolkata",Chinese,400
Banjo Kolkata,18683429,3.2,"C-29, Second Floor, Pabitra Mega Mall, 326, MG Road, Kabaradanga More, Haridevpur, Joka, Kolkata","North Indian, Chinese",800
Banzara Kolkata,20904,3.8,"86, Ibrahimpur Road, Jadavpur, Kolkata","North Indian, Chinese",500
Banzara Kolkata,23872,2.8,"65, P.C Sorcar Sarani, Gariahat, Kolkata","Fast Food, Chinese",200
Bapi Hotel & Restaurant Kolkata,22835,2.8,"BC 6, Anurupa Pally, Prafulla Kanan East, Kestopur, Kolkata","North Indian, Chinese",250
Bapu Tea Stall Kolkata,18586699,3.1,"3A, Jagmohan Mullick Lane, Kalakar Streer, Bara Bazar, Kolkata","South Indian, Tea, Fast Food",100
BarBQ Kolkata,20870,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, North Indian",900
Baraf Kolkata,23658,3.6,"1518, Garia Main Road, Near Kavi Nazrul Metro, Garia, Kolkata","North Indian, Chinese, Continental",850
Barasat Bowls Kolkata,18703167,NEW,"Barasat Telephone Exchange, Jessore Rd, Banamalipur, Barasat, Kolkata","Chinese, Fast Food, North Indian",300
Barbeqoa Kolkata,18579439,3.6,"212, B.B. Ganguly Street, Bowbazar, Kolkata",Fast Food,400
Barbeque Inn Howrah,18807598,NEW,"324/4 G.T. Road, Bally, Howrah",Fast Food,200
Barbeque Nation Kolkata,18678463,4.6,"Unit 1, 4th Floor, Diamond Plaza, 68, Nagerbazar, Kolkata","North Indian, Chinese, Kebab, BBQ","1,400"
Barbeque Nation Kolkata,18723298,4.4,"Shop 410, 104, 4th Floor, Lake Mall, Rashbehari Avenue, Lake Market Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,400"
Barbeque Nation Kolkata,20842,4.8,"K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","North Indian, Chinese, Kebab, BBQ","1,400"
Barbeque Nation Kolkata,25570,4.8,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,400"
Barcode Kolkata,18471907,4,"PS Srijan, Corporate Park, Sector 5, Salt Lake","Chinese, Italian, Continental","1,500"
Barf Soda Paani Kolkata,18806872,NEW,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata",Finger Food,"1,000"
Barir Khabar Kolkata,18265477,3,"Webel Bhavan, EP & GP Block, Sector 5, Salt Lake",Bengali,100
Barista Kolkata,21185,3.4,"157G, New Alipore, Kolkata","Cafe, Beverages",600
Barista Lavazza Espresso Bar Kolkata,21956,3.7,"10, Hindustan Road, Gariahat, Kolkata","Cafe, Beverages",600
Barocks Kolkata,18658405,3.6,"Godrej Waterside, Tower 1, Podium, DP Block, Sector 5, Salt Lake","North Indian, Continental, Chinese, Italian, Beverages, Kebab","1,600"
Barsha Kolkata,20658,2.9,"1, Rastroguru Avenue, UBI Building, Nagerbazar, Kolkata","Chinese, North Indian",400
Barua Eating House Kolkata,23554,-,"6, Kapalitola Lane, Chandni Chowk, Kolkata",Bengali,200
Basanta Cabin Kolkata,22931,2.2,"53, College Street, Kolkata","North Indian, Chinese",200
Basanti Sweets Kolkata,18345806,3.8,"38/1, Dum Dum Road, Nagerbazar, Kolkata",Mishti,100
Basil Restaurant and Cafe Kolkata,18788797,NEW,"763, Raja Rammohan Roy Road, Panchanantala, Behala, Kolkata","Pizza, Burger, Continental",300
Baskin Robbins Kolkata,18259435,3.5,"P135 , BlockJ, New Alipore, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18265453,3.8,"12/2, Kalikapur Road, Near Avishar Shopping Mall, Kalikapur, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18281733,3.7,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18343738,3.7,"15, Ekdalia Road, Ballygunge, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18368682,3.9,"49B, Purna Das Road, Hindustan Park, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18420501,3.7,"Shop 6, 1050/1, Unnayan The Commercial Complex, Survey Park, Ajoy Nagar, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18452193,3.9,"4, Bangur Avenue Block A, Bangur, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18482441,4,"243/3, N.S.C. Bose Road, Naktala, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18521495,3.7,"149, Santoshpur Avenue, Santoshpur, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18546232,3.7,"68A, Bhupen Roy Road, Behala, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18579422,3.6,"5B, Chetla Central Road, Alipore, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,18747004,3.3,"62, Shakespeare Sarani, Theatre Road, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,23284,3.8,"67A, Ballygunge Circular Road, Opposite Trivoli Court, Ballygunge, Kolkata","Ice Cream, Desserts",400
Baskin Robbins Kolkata,23457,3.8,"Shop 1, HB 290, Near Broadway Mall, Sector 3, Salt Lake","Ice Cream, Desserts",400
Baskin Robbins Kolkata,24915,4,"Ground Floor, 178, Sarat Bose Road, Desapriya Park, Kolkata","Ice Cream, Desserts",400
Basmati Kolkata,18729552,3.2,"8, Bondel Road, Ballygunge Phari, Kolkata","Fast Food, Chinese",300
Batai Mistanna Bhandar Howrah,23982,3.4,"470, Sarat Chatterjee Road, Baitaitola Bazar, Shibpur, Howrah",Mishti,100
Batcaves Gourmet Popcorns Kolkata,18510854,3.6,"Quest Mall, Ground Floor, 33 Syed Amir Ali Avenue, Ballygunge, Kolkata",Fast Food,250
Batido Kolkata,18609183,3.4,"City Centre Entrance, Chaurasia Pan Wala, Sector 1, Salt Lake",Beverages,200
Batra's Kitchen Punjabi's Kolkata,18577708,3.2,"50 A, Ananda Palit Road, Entally, Kolkata","North Indian, Rolls",250
Bats on Delivery Howrah,18610329,3.3,"2nd Floor, 5, Dr. Abani Dutta Road, Dobson Road, Howrah","Fast Food, Beverages",300
Bawa Fast Food Corner Kolkata,18755414,-,"2/3 Garcha 1st Lane, Ballygunge, Kolkata",Fast Food,600
Bawarchi Biriyani Kolkata,18807698,NEW,"1/1/20 Sweety Plaza RV Road IVS Avenue, Shrirampur, Kolkata",Biryani,300
Bawarchi Family Restaurant Kolkata,20061,4.1,"58/1, Central Road, Jadavpur, Kolkata","Chinese, North Indian, Mughlai, Biryani",800
Bawarchi Fast Food Centre Kolkata,22525,3.4,"85, Diamond Harbour Road, Silpara, Behala, Kolkata",Fast Food,200
Bawarchi Fast Food Kolkata,20059,2.8,"44, Raja S.C. Mullick Road, Baghajatin, Kolkata","Chinese, North Indian, Mughlai, Biryani",800
Bawarchi Fast Food Kolkata,20060,2.7,"A/4, C.I.T. Market, Jadavpur, Kolkata","Fast Food, North Indian, Chinese, Rolls",350
Bawarchi Fast Food Kolkata,21402,3,"84/A, Santoshpur Avenue, Santoshpur, Kolkata","Fast Food, North Indian, Chinese, Rolls",350
Bawarchi Fast Food Kolkata,23291,2.9,"5/49, Netaji Nagar, Tollygunge, Kolkata","Fast Food, North Indian, Chinese",350
Bawarchi Fast Food Kolkata,23300,3.4,"C279, Survey Park, Ajoy Nagar, Kolkata","Fast Food, North Indian, Chinese, Rolls",350
Bawarchi Food & More Howrah,18654950,3.5,"12/2, Makardah Road, Kadamtala, Howrah","Chinese, Rolls, North Indian",300
Bawarchi Kolkata,18747170,3.2,"NP-372 Nayapatty Main Road, Sector 5, Salt Lake, Kolkata",North Indian,400
Bawarchi Kolkata,18778102,-,"143/A, Ananda Palit Road, Entally, Kolkata","North Indian, Chinese, Mughlai",400
Bay Bay's Kolkata,18684690,3.8,"99/5/2A, Dr. Amiya Bose Sarani Road, Ballygunge, Kolkata","Continental, Seafood, Indian",800
Bazeegar Kolkata,22172,3.5,"56, Central Road, Near Cube Centre, Jadavpur, Kolkata","Street Food, Chinese, Rolls",200
Be You Kolkata,18664324,3.7,"5A, Aston Road, Paddapukur, Kolkata Near hotel Aston.. opp to Laxmi narayan mandir.","Continental, Beverages, Desserts, Italian, Pizza, Chinese, Kebab, Momos",800
Bean It Up!!! Kolkata,23383,3.3,"41, Elgin Road, Near Forum Mall, Elgin, Kolkata","Cafe, Fast Food",250
Bean's And Cream Cafe Kolkata,25546,3.7,"30A, Bhupen Roy Road, Near M.P. Birla, Behala, Kolkata","Cafe, Beverages, Fast Food",500
Beans N Barrels Kolkata,18763836,-,"362 Jamshedji Tata Road, Newtown, Action Area II, Infront of TCS Gitanjali Park, New Town, Kolkata","North Indian, Continental, Chinese, Bakery","1,000"
Beans and Roots Kolkata,18701995,3.6,"31, Allenby Road, Bhawanipur, Kolkata","Coffee, Beverages",250
Beans n Bites Kolkata,18570555,4.5,"23/20/3 Gariahat Road, Near Kotak Mahindra Bank, Golpark, Kolkata",Cafe,250
Beas Home Delivery Kolkata,18755583,3.2,"12, Kali Kumar, P Majumder Road Santoshpur, Kolkata",Bengali,200
Beche Thakar Gaan Kolkata,18655558,3.3,"9/12/1, Jadavpur Central Road, Bijoygarh Jadavpur, Kolkata","Chinese, North Indian",300
Bedouin - Sher e Bengal Kolkata,20065,3.9,"200/2B, Gariahat Road, Gariahat, Kolkata","Chinese, North Indian, Bengali, Biryani",500
Bedouin Restaurant Kolkata,18440226,3.6,"8A, Nandi Street, Gariahat, Kolkata","North Indian, Bengali",400
Bedouin Restaurant Kolkata,18780010,-,"47B, Gariahat Road, Gariahat, Kolkata","North Indian, Bengali",400
Bedwin Dawat Kolkata,21332,2.9,"P9, Motijheel Avenue, Dum Dum, Kolkata","North Indian, Fast Food",200
Bedwin Kolkata,17983795,2.9,"5/49, Netaji Nagar, Tollygunge, Kolkata","Chinese, North Indian",500
Bedwin Kolkata,18583957,3.3,"Kulpi - Baruipur Road, Subuddhipur, Baraupir, Narendra, Kolkata","Chinese, North Indian",400
Bedwin Kolkata,18734010,3,"Kanungo Park, Netaji Subhash Chandra Bose Road, Garia, Kolkata","Biryani, Chinese, North Indian",400
Bedwin Kolkata,18807699,NEW,"23, JK Street, Near TN Boutique, Uttarpara, Kolkata","Biryani, North Indian, Chinese",300
Bedwin Kolkata,20611,3.5,"409, Near Lords More, Lake Gardens, Kolkata","Biryani, Chinese, Indian, Fast Food, Hyderabadi, North Indian, Rolls, Kebab",500
Bedwin Kolkata,21118,3.5,"46/2/1A, Gariahat Road, Gariahat, Kolkata","Chinese, North Indian, Rolls",500
Bedwin Kolkata,21178,2.7,"15, Gariahat Road, Near Dhakuria, Gariahat, Kolkata","Chinese, North Indian, Rolls",500
Bedwin Kolkata,21413,2.5,"32/33, Jheel Road, 43, Paul Bazaar, Jadavpur, Kolkata","Chinese, North Indian",500
Bee Tails Kolkata,18728314,-,"128 Hazra Road, Hazra, Kolkata","Beverages, Chinese",200
Beer Republic Kolkata,18166940,3.7,"89C, Maulana Abul Kalam Azad Sarani, Near Swabhumi, Kankurgachi, Kolkata","Chinese, Continental, North Indian, Beverages, Pizza, Italian, Salad, Desserts","2,000"
Beeru's Restaurant Kolkata,18641162,3.1,"17, Ripon Street, Wellesley, Kolkata",Mughlai,200
Behala Cafe Kolkata,18361630,3.1,"1/1, Sourin Roy Road, Behala, Kolkata","Chinese, North Indian",400
Behala Food Corner Kolkata,24001,3,"252, D.H. Road, Opposite Behala Police Station, Behala Kolkata","Fast Food, Chinese",200
Beijing Express Kolkata,18672408,3,"1802, Rajdanga Main Road, Chakraborty Para, Kasba, Kolkata",Chinese,300
Beijing Kolkata,21347,3.9,"77/1, Christopher Road, Tangra, Kolkata",Chinese,"1,800"
Bejing Kolkata,23561,3.3,"P-506, Diamond Harbour Road, Behala, Kolkata",Fast Food,300
Belaranir Rannaghar Kolkata,18578967,3.5,"13, Boalia, Near Garia Station, Paschim Kalibari, Garia, Kolkata",Bengali,500
Belgian Waffle House Kolkata,18741443,3.4,"244, Chittaranjan Avenue, Hatibagan, Kolkata",Desserts,250
Belgian Waffle Junction Kolkata,18611979,4.2,"26/7 Sahapur Colony, Opposite New Alipore Audi Showroom, New Alipore, Kolkata",Desserts,400
Belgian Waffle Junction Kolkata,18682275,3.9,"31, Sarat Bose Road, Kol-20",Desserts,400
Belgian Waffle Junction Kolkata,18753385,3.7,"119, Lake Town, Block- B, Kolkata- 700089",Desserts,400
Bell Peppers Kolkata,23828,3.3,"1700, Rajdanga Main Road, Near Kasba New Market, Kasba, Kolkata","Chinese, North Indian",450
Bella Biryani Howrah,22636,3.1,"406, G.T. Road, Shibpur, Howrah",Biryani,150
Bellagio Kolkata,21558,3.6,"174, 175 & 179, Block C, Raja S.C. Mallick Road, Jadavpur, Kolkata","Chinese, Continental, Thai, Seafood, North Indian",600
Belly Charger Kolkata,18752051,-,"I/I-11, Aswini Nagar, Baguihati, Kolkata","North Indian, Chinese",300
Belly Petrol Kolkata,18604279,3.3,"22A, Hazra Road, Hazra, Kolkata",North Indian,400
Bellycacy Kolkata,18770298,3.7,"20, Hindustan Park, Gariahat, Kolkata","Fast Food, Continental, Mexican",300
Bellyfu Kolkata,18716855,3.2,"45, Block D, Bangur Avenue, Kolkata","Pizza, Italian, American, Fast Food",400
Benfish Kolkata,18468792,2.9,"Lake Town Municipal Market, Lake Town, Kolkata",Chinese,300
Bengal Biryani Kolkata,18578772,2.9,"BE25, Street 121, Narkelbagan, New Town, Kolkata","Biryani, Chinese",700
Bengal Food Factory Kolkata,18618760,-,"28/1E, Gariahat Road, Golpark, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618764,-,"852/2 James Long Sarani, Diamond Park, oka, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618766,-,"82/7 H Ballygunge Place, Ground Floor, South East Corner, Ballygunge, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618771,3,"34A/2, Biplabi Barin Ghosh, Sarani, P.S. Maniktala",Bengali,400
Bengal Food Factory Kolkata,18618782,-,"GD-152, Sector 3, Salt Lake",Bengali,400
Bengal Food Factory Kolkata,18618788,-,"Sree Nagar(West), Panchasayar Road, Garia Station, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618852,-,"Chaal Patti, Baguihati, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618928,-,"81, Bidhan Sarani, Hatibagan, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18618940,-,"151A, Jodhpur Park, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18676386,-,"8B Bus stop, Jadavpur, Kolkata.",Bengali,400
Bengal Food Factory Kolkata,18676417,-,"Ground Floor, Flat 4, Merlin Estate, Diamond Harbour Road, Behala, Kolkata.",Bengali,400
Bengal Food Factory Kolkata,18676420,-,"Shop 4, Jai Jawan Stall, Apanjan Apartment, Mohishgot Dhalipara, Krishnapur, Kestopur, Kolkata.",Bengali,400
Bengal Food Factory Kolkata,18676425,-,"26, Netaji Subhash Chand Bose Road, Tollygunge, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18676433,-,"112, Subodh Park, Tollygunge, Kolkata",Bengali,400
Bengal Food Factory Kolkata,18676441,3.1,"Motijheel, Dum Dum, Kolkata",Bengali,400
Bengal Hot & Spice Kolkata,18797168,NEW,"3H, Gagansarkar Road, Beliaghata, Kolkata",Bengali,300
Bengal Hotel Kolkata,18146888,4,"280, Diamond Harbour Road, Opposite 14 Number Bus Stop, Behala, Kolkata",North Indian,300
Bengal Pizza Service Kolkata,18143237,3.3,"1/157, Usha More, Naktala, Kolkata","Pizza, Fast Food",400
Bengal Special Kolkata,18391859,-,"D58, Baisnabghata Patuli, Kolkata, Garia, Kolkata",Mishti,200
Bengal Sweets Kolkata,23119,3.1,"4, Rifle Range Road, Ballygunge, Kolkata",Mishti,100
Bengali Pithe Kolkata,18612213,-,"65, A/29, Swinhoe Lane, Kasba, Kolkata",Desserts,300
Bengali Quisine Kolkata,18669030,-,"Ghosh Para Road, Barrackpore, Kolkata","North Indian, Chinese, Bengali",500
Bengali Tradition Kolkata,18545652,-,"CE 98, Action Area1, New Town, Kolkata",Bengali,400
Benjamin Bangalee Kolkata,18420484,3.8,"P/122 James Long Sarani, Behala, Kolkata","Bengali, Chinese, Seafood, Continental, Momos",600
Benubono Chhaya Kolkata,18559854,3.3,"EM Bypass, Patuli, Garia, Kolkata",Chinese,400
Besstoo Kolkata,18621417,4,"98M, Suren Sarkar Road, Kankurgachi, Kolkata","Bengali, Biryani, Chinese, Healthy Food, North Indian",350
Best Flavours Kolkata,18777670,3.2,"Tulip Garden, PO Rajarhat Gopalpur, Near Chinar Park, Kolkata","North Indian, Chinese",300
Best Fried Chicken Kolkata,18780465,-,"Shop NP-290, Opposite Chowk Mandir, Near Technopolis, Nayapatty, Sector 5, Salt Lake, Kolkata",Fast Food,300
Best of Gupta's Kolkata,21165,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","North Indian, Chinese, Fast Food",400
Bhagya Laxmi Howrah,18770092,3.3,"2C, Shantinagar Colony, Liluah, Howrah","North Indian, Chinese",300
Bhaijan Kolkata,18571717,3.2,"308/1A, Diamond Harbour Road, Thakur Pukur, Kolkata","Street Food, North Indian",300
Bhaipo's Food Court Kolkata,25200,2.6,"235, B.T. Road, Near Ananya Cinema Hall Back Gate, Baranagar, Kolkata","North Indian, Chinese",550
Bhaja Bhuji Kolkata,18664832,3.6,"34 Dr. Meghnad Saha Lane, Near CMC Swimming Pool, Southern Avenue, Kolkata","Bengali, Fast Food",150
Bhajohori Ranna Kolkata,23305,3.7,"185/1, Sarat Colony, Madhusudhan Banerjee Road, Birati, Barasat, Kolkata","Chinese, Bengali, North Indian",600
Bharat Biryani & Restaurant Kolkata,18237042,3.4,"9, Lal Bazar Street, Near Lal Bazar, Dalhousie BBD Bagh, Kolkata","Mughlai, North Indian, Biryani, Momos, Fast Food",350
Bharat Biryani Kolkata,18840196,NEW,"76 Bidhan Sarani, Hatibagan, Kolkata",Biryani,250
Bharat Lakshmi Mistanna Bhandar Kolkata,18634412,-,"38, Lt. Tapan Chowdhury Ave, Bhowanipore, Southern Avenue, Kolkata","Street Food, Mishti",200
Bhel Junction Kolkata,18281712,3,"4th Floor, Food Stop Food Court, Diamond Plaza Mall, 68, Nagerbazar, Kolkata",Street Food,150
Bhel Junction Kolkata,24804,2.8,"Ground Floor, City Center 1, Sector 1, Salt Lake",Street Food,150
Bhikaram Chandmal Kolkata,18544134,3.4,"256 Jessore Road, Nagerbazar, Kolkata",Fast Food,150
Bhikaram Chandmal Kolkata,18544137,3.2,"2/1, Chinar Park, Kolkata",Fast Food,150
Bhikaram Chandmal Rajuji Kolkata,18705182,3,"P-39, Maniktala Main Road, Kankurgachi, Kankurgachi, Kolkata",Mithai,150
Bhikharam Chandmal  Kolkata,18669811,3.4,"46 C, Rafi Ahmed Kidwai Road, Kolkata, Kolkata",Mishti,200
Bhikharam Chandmal & Grandsons Kolkata,18287751,3.4,"1/2, Chinar Park Crossing, Chinar Park, Kolkata","Street Food, Mishti",300
Bhikharam Chandmal & Grandsons Kolkata,21837,3,"Ground Floor, Vrindavan  Building, 67A, Ballygunge Circular Area, Ballygunge, Kolkata","Street Food, Mishti",300
Bhikharam Chandmal Howrah,18452214,3.4,"50, Dobson Road, Howrah Dobson Road","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Howrah,18674302,3.3,"36, Doctor Abani Dutta Road, Dobson Road, Howrah","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Howrah,18698013,3.2,"493B, 18 GT Road, Opposite Jain Hospital, Shibpur, Howrah",Mithai,150
Bhikharam Chandmal Kolkata,18521700,3,"956, Gokul Dham,Jessore Road","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,18535413,3.5,"1, A.J.C. Bose Road, Chowringhee, Kolkata","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,18674307,3.4,"5, Chetla Central Road, New Alipore, Kolkata","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,21824,3.8,"P39, C.I.T. Road, Near Maniktala Main Road, Kankurgachi, Kolkata","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,23924,3.8,"DC 15, Near City Centre 1, Salt Lake","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,24468,3.3,"120/B, Bangur Avenue, Bangur, Kolkata","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,24469,3.5,"9, Jagmohan Mullick Lane, Bara Bazar, Kolkata","Street Food, South Indian, Mishti",300
Bhikharam Chandmal Kolkata,24470,3.4,"19, Synagogue Street, Brabourne Road, Dalhousie BBD Bagh, Kolkata","Street Food, South Indian, Mishti",300
Bhim Chandra Modak Kolkata,22907,3,"9B, Nirmal Chandra Street, Bow Bazar, Kolkata",Mishti,100
Bhim Chandra Nag Kolkata,18662725,3.2,"46, Strand Road, Fairley Place, Barabazar Market, Bara Bazar, Kolkata",Mishti,150
Bhim Chandra Nag Kolkata,22080,4.4,"5, Nirmal Chandra Street, Near Bow Bazar Market, Bow Bazar, Kolkata",Mishti,100
Bhimsain Hotel Howrah,21439,3,"2, Rishi Bankim Chandra Road, Howrah Station Area, Howrah","North Indian, Bengali",350
Bhoj Bilash Kolkata,18562328,3.4,"139, Rajdanga Main Road, Kasba, Kolkata","South Indian, North Indian, Bengali",500
Bhojan Ghar Kolkata,18570279,3.2,"1, Madhusudan Banerjee Road, Belghoria, Kolkata","Bengali, Mughlai, Awadhi, North Indian, South Indian, Chinese",100
Bhojan Kolkata,18259468,2.7,"230, Diamond Harbour Road, 14 Number Bus Stand, Behala, Kolkata","Bengali, North Indian, Chinese",400
Bhojan Rashik Kolkata,18545777,-,"738 Diamond Harbour Road, Behala, Kolkata","North Indian, Chinese",400
Bhojan Spicy Hotel Kolkata,18649984,3.2,"115 Aurobindo Sarani, Maniktala, Kolkata","Chinese, North Indian",300
Bhojohori Manna Kolkata,18377100,3.4,"5th Floor, Diamond Plaza Mall, 68, Nagerbazar, Kolkata",Bengali,700
Bhojohori Manna Kolkata,18544030,3.6,"13 Bhupendra Bose Avenue, Shyam Bazar, Kolkata",Bengali,700
Bhojohori Manna Kolkata,20070,3.6,"CF 206, Sector 1, Salt Lake",Bengali,550
Bhojohori Manna Kolkata,20071,3.5,"23A, Priyanath Mullick Road, Hazra, Kolkata",Bengali,550
Bhojohori Manna Kolkata,20072,3.7,"18/1A, Hindustan Road, Gariahat, Kolkata",Bengali,700
Bhojohori Manna Kolkata,20073,3.6,"11A, Esplanade East, Esplanade, Kolkata",Bengali,550
Bhojohori Manna Kolkata,20074,3.8,"79/3/4, Bidhan Sarani, Near Star Theatre, Hatibagan, Kolkata",Bengali,550
Bhojohori Manna Kolkata,20075,3.8,"2nd Floor, Globsyn Crystal, EP & GP Block, Sector 5, Salt Lake",Bengali,550
Bhojohori Manna Kolkata,20934,3.7,"13, P.C. Sorcar Sarani, Ekdalia Road, Gariahat, Kolkata",Bengali,550
Bhojohori Manna Kolkata,20935,2.8,"Unit P33, Gate 2, Phase I, Kasba Industrial Estate, Ruby Hospital Area, Kolkata",Bengali,550
Bhojohori Manna Kolkata,24835,2.8,"Puspavilla, 91A, Raja S.C.Mullick Road, Garia, Kolkata",Bengali,500
Bhojon Bilasi Kolkata,18325046,2.8,"Barasat, Dakshinpara, (Radha Mistanna Bhandar Goli), at Shibani Kuthi, Nr. Shyamoli Math.","Chinese, Bengali, Fast Food",600
Bhojon Rasik Kolkata,18602896,3,"42/A, Gopal Lal Tagore Road, Near Ramkrishna Mission School, Baranagar, Kolkata","Continental, North Indian",700
Bhojpatra Kolkata,18771527,3,"Krishnapur Main Road, Village Mohisgote, PS - EC, Kestopur, Kolkata","North Indian, Chinese",300
Bhojraj Kolkata,18599376,3.1,"171A, Rash Behari Avenue,  Kolkata",Fast Food,200
Bhola Fuchka Wala Kolkata,18270224,3.1,"Shibuji, 3B, Upper Wood Street, Theatre Road, Kolkata",Street Food,200
Bholanath Cabin Kolkata,18456383,3.3,"11/1A, Girish Avenue, Near Girish Mancha Xing, Bagbazar, Shyam Bazar, Kolkata",Street Food,200
Bhookh Pitaara Kolkata,18548456,3.4,"W2B 19, Flat NI 1, Phase 3, Golf Green Urban Complex, Golf Green, Kolkata","Street Food, Chinese, Fast Food, North Indian, Italian, Burger, Wraps, South Indian",300
Bhookkad Kolkata,18641379,4,"1/1, Crematorium Street, Park Circus Area, Kolkata","Fast Food, Chinese",500
Bhookkad Kolkata,18801839,NEW,"17/a Ekdalia Place, Dhakuria, Kolkata","Continental, Fast Food, Rolls, Biryani",250
Bhoomi - Vedic Village Spa Resort Kolkata,21618,4.1,"Vedic Village Spa Resort, Shikharpur, New Town, Kolkata",Bengali,"1,850"
Bhooter Raja Dilo Bar Kolkata,21435,3.9,"1st Floor, Jadavpur Super Market, A25, Jadavpur, Kolkata",Bengali,450
Bhukkad Kolkata,18708282,-,"DLF 2, New Town, Kolkata, Opposite Gitanjali Park, New Town","Fast Food, North Indian",300
Bhukkadss Kolkata,18712763,3.4,"P-96A, Lake View Road, Southern Avenue","North Indian, Chinese",550
Bhukkar Party Kolkata,18766103,3.1,"60, Central Road, Jadavpur, Kolkata","Chinese, Fast Food",200
Bhuri Bhoj Kolkata,18723236,3.3,"35/4 Bipin Ganguly Road, Dum Dum, Kolkata","North Indian, Bengali",400
Bhuri Bhoj Kolkata,23659,3.7,"318, Maduraha, Kalikapur, Kolkata",Bengali,400
Bhuri Bhoj Restaurant Howrah,18659673,3.3,15/1 Tarapada Chatterjee Lane,"Bengali, Chinese",400
Bhuribhoj Kolkata,18554631,3.3,"47/F, Bosepukur Road, Kasba, Kolkata",Bengali,200
Bibi of Taaja's Kolkata,23219,3.7,"164/C/12B, Lake Gardens, Kolkata","Continental, Burmese, Fast Food",900
Bibiyanar Rannaghar Kolkata,18749797,-,"9, Ghosh Para, Haltu, Kalikapur, Kolkata",Bengali,250
Big Bong Kolkata,18801847,NEW,"98, 40/C, IC Road, Aruna Chal, Rahara, Khardah, Kolkata",Fast Food,200
Big Bong Kolkata,18853694,NEW,"J.K Chatterjee Road, Keya More, Sodepur, Kolkata",Fast Food,200
Big Boss Fast Food Centre Kolkata,18475532,3.1,"Christianpara, Kestopur, Kolkata","Chinese, North Indian",450
Big Boss Kolkata,18665221,-,"Natun Bazaar, Near Shani Mandir, Sector 5, Salt Lake","Fast Food, Chinese",400
Big Boss Kolkata,21431,3.8,"54C, Matheswartala Road, Tangra, Kolkata",Chinese,"1,000"
Big Boss Restora Kolkata,18198684,2.9,"42/A, Rajnikanta Das Road, Kalikapur, Kolkata",Chinese,400
Big Fat Shawarma Kolkata,18590972,2.6,"p-656, O block, newalipore, New Alipore, Kolkata","Fast Food, Chinese, North Indian, Kebab, Rolls",250
Bigg Belly Express Kolkata,18668613,3.4,"109/1A, Sarat Ghosh Garden Road, Dhakuria, Kolkata","Chinese, Thai, Indian, Momos",500
Bijli Sweets Kolkata,23098,-,"Kulpi Road, Kachari Bazaar, Baruipur, Near Narendra Pur, Narendra Pur, Kolkata",Mishti,100
Bijoli Grill Foods Corner Kolkata,18823873,NEW,"Laxmi Apartment, Atghara check post, Rajarhat Main Road, New Town, Kolkata","North Indian, Chinese",300
Bijoli Grill Foods Corner Kolkata,25559,3.5,"42, Sadananda Road, Kalighat, Kolkata","Chinese, North Indian, Bengali",300
