Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
Jalshaghar Kolkata,21427,2.9,"Matangini Colony, 3, Near Tagore Park, Ruby Hospital Area, Kolkata","North Indian, Chinese",700
Jaluk Kolkata,18752024,3.4,"NP - 159, Nayapatti Main Street, Sector 5, Salt Lake, Kolkata","Assamese, North Indian",300
Jam House Kolkata,18325249,4.4,"1, AJC Bose Road, Near Shikshayatan College, Chowringhee, Kolkata","Cafe, Chinese, Italian, Continental, North Indian, Mexican, Momos",950
James Corner (By Besstoo) Kolkata,18703823,-,"Near TCS Lords Building, EP Block, Sec 5, Sector 5, Salt Lake",Fast Food,200
Jana Food Cafe Kolkata,18432040,3.1,"5, Beliaghata Main Road, Near Ragini Cinema, Beliaghata, Kolkata","Chinese, Mughlai, North Indian",600
Jana's Dhaba Kolkata,18525472,3.4,"A-38, Sukanta Nagar, Sector 4, Salt Lake","North Indian, Chinese",700
Janata Hotel and Restaurant Kolkata,20650,2.9,"523, Nagerbazar, Kolkata","Chinese, North Indian",600
Janata Restaurant Kolkata,18609606,3.3,"Kolkata, Pal Para, Batanagar, Tara Tala, Kolkata",Chinese,400
Jashoda Mistanna Bhandar Kolkata,24782,3.8,"50/1, S.N  Banerjee Road, Taltala, Kolkata",Mishti,100
Jashoda's Kitchen Kolkata,18585750,-,"144, Sunil Sen Sarani Road, Dakshinpara More, Satgachi, Baguiati, Kolkata","Chinese, Bengali, North Indian",400
Jasmine's Howrah,18611587,3.6,"309, Belilious Road, Howrah Station Area, Howrah",Bakery,400
Jassi Da Dhaba Kolkata,18819537,NEW,"2/2B Justice Chandra Madhav Road, Bhawanipur, Kolkata",North Indian,600
Jathamasai Mistanna Bhandar Howrah,23980,2.9,"196, Danesh Sheikh Lane, Andul Road, Howrah",Mishti,150
Javed Biryani Kolkata,18070787,2.7,"49C, Kustia Road, Picnic Garden, Kolkata",Mughlai,150
Jay Ambe Bhojanalaya Kolkata,18735404,3.5,"1/B, Madan Mohan Burman Street, Mechua Bazar, Bara Bazar,Kolkata",North Indian,400
Jayashree Kolkata,23518,3.1,"411, Nirmal Chandra Dey Street, Bow Bazar, Kolkata",Mishti,100
Jeet Cafe Bar Kolkata,18386811,3.1,"66, Hem Chandra Naskar Road, Phool Bagan, Beliaghata, Kolkata",Chinese,500
Jeet Garden Restaurant Kolkata,18669036,3.1,"4/1/1, Madhusudhan Banerjee Rd, Khalisha Kota, Birati, Dum Dum, Kolkata","North Indian, Bengali",650
Jeevan Restaurant Kolkata,21153,3.1,"35A, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Chinese, North Indian, Street Food",350
Jesibo Kolkata,24669,2.8,"Lake Mall, 104, Rash Behari Avenue, Kolkata",Fast Food,300
Jessore Junction Kolkata,18537532,3.3,"49/2 Jessore Road, Fortune Township, Barasat 700124","Afghani, Chinese, North Indian",600
Jewels Of India  Kolkata,18821043,NEW,"1, Jessore Road, Hathkhola, Beside Great Eastern Showroom, Barasat, Kolkata","Chinese, Mughlai, North Indian","1,000"
Jhaaj lobongo Kolkata,18325242,3.1,"Parnashree, Behala, Kolkata",Bengali,350
Jhaaley Jholey Ombole Kolkata,23355,3.4,"P588, Purnadas Road, Hindustan Park, Kolkata",Bengali,600
Jhoro Kitchen Kolkata,18697253,-,"2/153A, Bijoygarh, Jadavpur, Kolkata",Kebab,400
Jhumki Fast Food Centre Kolkata,22501,-,"39/1A, C.N. Roy Road, Picnic Garden, Kolkata",Fast Food,200
Jiban Jamuna Kolkata,22033,3.7,"Nawapara, Near City Centre 2 Mall, Chinar Park Road, Chinar Park, Kolkata","Bengali, Biryani, Desserts, North Indian, Chinese, Salad, Indian",350
Jibh-E-Jol Kolkata,24147,3,"Siddhartha Nagar, Opposite Allen Factory, Kestopur, Kolkata","North Indian, Chinese",400
Jimmy's Kitchen Kolkata,21148,3,"36F, Ruby Hospital Road, Ruby Hospital Area, Kolkata",Chinese,900
Jimmy's Kitchen Kolkata,21149,3.8,"7/1A, A.J.C. Bose Road, Near Kala Mandir, Theatre Road, Kolkata",Chinese,900
Jimmy's Kitchen Kolkata,23233,3.6,"14D, Lindsay  Street, New Market Area, Kolkata","Chinese, Seafood",650
Jinni'sshhh Cafe Kolkata,18807491,NEW,"6 No. Patuli Block H, Garia, Kolkata","Cafe, Fast Food",300
Jive Jol Kolkata,18610849,-,"Garia, Kolkata","Bengali, North Indian",300
Jolly Jecker Kolkata,23635,2.9,"T6, 001, Gardens, Uniworld City, New Town, Kolkata","Chinese, North Indian",500
Joy Baba Lokenath Snacks Kolkata,21058,3.3,"78/1, Maharaja Tagore Road, Near Dhakuria Bus Stand, Dhakuria, Kolkata","North Indian, Chinese",300
Joy of Baking Kolkata,25086,3.4,"9, Block H, Near Samsung Smart Cafe, New Alipore, Kolkata","Bakery, Desserts",500
Joyguru Mishtan Bhandar Kolkata,23400,3.2,"25/4, Chakraberia Road (South), Bhawanipur, Kolkata","Fast Food, Mishti",100
Jugaad Bangla Kolkata,18556439,3.5,"22/1B, Samsul Huda Road, Near Ritika Jewellers, Park Circus Area, Kolkata","Afghani, Chinese, Biryani",400
Jugal's Kolkata,22915,3.5,"56, College Street, College Street, Kolkata","Bengali, Street Food, Mishti",100
Jugal's Kolkata,24425,3.8,"156B, Desapriya Park, Kolkata","Bengali, Desserts, Street Food, Mishti",100
Jugal's Kolkata,24983,3.5,"191, Park Street, Near 7 Point Crossing, Park Circus Area, Kolkata","Bengali, Street Food, Mishti",100
Juice Art Kolkata,18444964,-,"38B, DownTown Mall, Uniworld City, AA-III, New Town, Kolkata","Juices, Salad",200
Juice Factory Kolkata,18545104,3.5,"Karaya Rd, Lower Range, Beck Bagan, Park Circus Area, Kolkata, West Bengal, India",Juices,300
Juices & More Kolkata,18770024,-,"74, NH 34, Jessore Road, Sisir Kunja, Madhyamgram, Barasat, Kolkata","Beverages, Juices",200
Juices & More Kolkata,24417,3.6,"4th Floor, Quest Mall, 33, Syed Amir Ali Avenue, Ballygunge, Kolkata","Beverages, Juices",200
Juicy Fresh Kolkata,24014,3.7,"1B, Elgin Road, Near Bhawanipur College","Juices, Beverages",150
Juicy Kolkata,18162685,3.6,"4th Floor, Yum Street, Lake Mall, 104, Rashbehari Avenue, Lake Market Area, Kolkata","Juices, Beverages",200
Jungle Safari Kolkata,18762917,4,"164/1, Mani Square Mall, Maniktala Main Road, EM Bypass, Kankurgachi, Kolkata","North Indian, Chinese, Italian, Continental","1,300"
Junior Brothers Kolkata,24380,3.9,"190/1, Gariahat, Kolkata","South Indian, Street Food",200
Junk House Gets Junky! Kolkata,18597399,3.4,"232, C.R. Avenue, 4th floor, ICICI Building, Girish Park, Kolkata - 700006","Cafe, Chinese, Italian",800
Junk Out Kolkata,18562441,2.9,"209, Block B, Lake Town, Kolkata",Healthy Food,300
Junkiezzz Kolkata,18681143,3.7,"25 Allenby Road, Near Northern Park, Bhawanipur, Kolkata","Fast Food, Continental",250
Just Baked Kolkata,18213958,3.6,"24,Station Road, Sodepur, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,18217454,3.2,"AC 232, Prafulla Kanan, Krishnapur, Kestopur, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,18420506,3.7,"100, Feeder Road, Belghoria, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,18452190,3.4,"Airport Gate No.1,P-73 Jessore Road, Dum Dum, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,18598188,3.1,"12, Jessore Road, Champadali, Barasat, Kolkata",Bakery,200
Just Baked Kolkata,18771990,3.1,"57/2, Amarnath Road, Word 19, Hooghly, Uttarpara, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,20988,3.3,"57/1A, Purnadas Road, Golpark, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21027,3.3,"5, Clive House, Marshal House, Bara Bazar, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21028,3.4,"23, Bidhan Sarani, Near Srimani Market, Hatibagan, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21029,3.2,"221B, A.P.C. Road, Shyam Bazar, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21031,3.7,"Ground Floor, Near City Centre 1, Sector 1, Salt Lake","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21032,3.5,"EN 7, Sector 5, Salt Lake","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21037,3.4,"5/1, A.J.C. Bose Road, Elgin, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,21978,2.9,"55A, Dum Dum Road, Dum Dum, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,23258,3.1,"5, Diamond Harbour Road, Near Chowrasta Crossing, Behala, Kolkata","Bakery, Fast Food, Desserts",250
Just Baked Kolkata,25744,3.2,"DC 18, Baguihati  Market Complex ,Baguihati Main Road, Baguihati, Kolkata","Bakery, Fast Food, Desserts",250
Just Bakes Kolkata,18676001,3.2,"30 Gorachand Bose Road, Manicktala, Kolkata",Bakery,200
Just Biryani Kolkata,18320016,2.5,"530A Jodhpur Park Bazar, Next to SBI  And TMC party office",Biryani,250
Just Bites Kolkata,18579563,3.1,"182/10, Sodepur Road, (East), Madhyamgram, Basunagar, Madhyamgram, Barasat, Kolkata",Fast Food,300
Just Cakes Howrah,18549983,4.1,"Baikuntha Chatterjee lane, Howrah maidan area.",Bakery,200
Just Chicken Kolkata,18620963,2.9,"NP 246, Near Technopolis, Sector 5, Salt Lake",Fast Food,400
Just Chinese Kolkata,18343740,3.5,"BD 37, Rabindra Pally, Krishnapur, Kestopur, Kolkata","Chinese, North Indian, Rolls, Kebab",400
Just Cooked Kolkata,18575874,3.3,"463, NSC Bose Road, Narendrapur, Mandir Gate, Narendra Pur, Kolkata","North Indian, Chinese, South Indian",300
Just Eat Kolkata,18634305,3.2,"13, Garfa Main Road, Santoshpur, Kolkata","North Indian, Chinese",300
Just For Taste Kolkata,18625236,-,"Near Maatri Builders, Garia Panchpota, Garia, Kolkata","Chinese, North Indian, Mughlai, Biryani",400
Just Fried Kolkata,18503518,3,"Ghosh Para, Near Sinthi More, Sinthi, Kolkata","Burger, Chinese",500
Just Fried Kolkata,18566720,2.5,"15, Ibrahimpur Road, Jadavpur, Kolkata","North Indian, Chinese",500
Just Fried Kolkata,18617390,3.3,"Vip Road Crossing, Near Indraprastha Apartments, Kaikhali, Kolkata","Burger, Beverages, Fast Food, Sandwich, Salad, Finger Food",250
Just Fries Kolkata,18268611,2.9,"43, D.P.S Road, Near Bhavani Cinema Hall, Tollygunge, Kolkata","Fast Food, Rolls",200
Just Fry Kolkata,18692895,3.4,"AC 134/135, Block 1, Sumangal Height, Prafulya Kanan (East), Near Boishakhi Foot Bridge, Kestopur, Kolkata",North Indian,400
Just Sandwich Kolkata,18017613,3.9,"57/1J, Shanti Nagar, Netaji Subhash Chandra Bose Road, Shanti Nagar, Ashok Nagar, Tollygunge, Kolkata",Fast Food,150
Just Sandwich Kolkata,18778734,-,"391/128, Prince Anwar Shah Road, Poddar Nagar, Jadavpur, Kolkata",Fast Food,150
Just Yummm Kolkata,18790399,NEW,"76/B/9/3, Rai Mohan Banerjee Road, Bonhooghly, Opposite Sarada Apartment, Baranagar, Kolkata","Sandwich, Fast Food",300
Jyoti Vihar Kolkata,20279,4.2,"3A/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",South Indian,250
Jyotirmoyee Golden Restaurant Kolkata,25072,3,"Garia Main Road, Tentulberia, Garia, Kolkata","Chinese, North Indian, Fast Food",300
K G N Nasir Hotel Kolkata,18281731,3.2,"Kaikhali Mondal Ganthi Airport, Near Masjid Kaikhali, Kolkata","Biryani, North Indian",400
K Local Kolkata,18668871,4,"3rd Floor, Block C, City Center 1, Sector 1, Salt Lake","American, Asian, Chinese, Continental, North Indian, Kebab, Desserts","1,000"
K-26 Kolkata,18679298,3,"64B, Sadananda Road, Near Tapan Theater Hall, Kalighat, Kolkata","Chinese, Fast Food",250
K. C. Das Grandson Kolkata,22409,2.6,"124B, Shyamaprasad Mukherjee Road, Near Kalighat Tram Depot, Kalighat, Kolkata","Street Food, Mishti",150
K. C. Das Kolkata,18567163,3.4,"Sriramnagar Housing Complex, Ground Floor, Next to French Loaf, Opposite Haldiram, VIP Road, Kaikhali, Kaikhali, Kolkata","Street Food, Mishti",100
K. C. Das Kolkata,23265,3.5,"119, Block-B, Near Lake Town Girls' School, Lake Town, Kolkata","Street Food, Mishti",100
K.C. Das Kolkata,22076,4,"11A, Esplanade East, New Market Area, Kolkata","Street Food, Mishti",100
K.C. Das Kolkata,25115,3.4,"1/426, Gariahat Road, Jodhpur Park, Kolkata","Street Food, Mishti",100
K.C.Gope & Co. Kolkata,18251913,3.4,"140 Bidhan Sarani, Hatibagan, Kolkata","South Indian, Desserts",250
K19 All Day Dining -​Radisson Kolkata Kolkata,22660,3.6,"Radisson, 17, Garcha Road, Ballygunge, Kolkata","Continental, North Indian, Mediterranean, Chinese","2,500"
K2 Kolkata,18528537,3.3,"2H, Bediadanga, 1st lane, Nator Park, Kasba, Kolkata","Street Food, Biryani, North Indian, Wraps, Rolls, Kebab",350
K2 Kolkata,18540444,3.7,"54, Harish Mukherjee Road, Bhawanipur, Kolkata","Street Food, Biryani, North Indian, Wraps, Rolls, Kebab",350
K2 Kolkata,18540454,3,"19/1, Manoharpukur Road, Hazra, Kolkata","Street Food, Biryani, North Indian, Wraps, Rolls, Kebab",350
K2 The Restaurant Kolkata,20911,3.6,"5/28, Netaji Nagar, Near Netaji Nagar Bus Stand, Tollygunge, Kolkata","Chinese, North Indian",500
KA's Kolkata,23765,3.2,"58, Keshab Chandra Sen Street, College Street, Kolkata",Chinese,300
