Sweet India,18594282,Belghoria
CFC,18679232,Belghoria
Yum Choco,18641228,Belghoria
Sutripti Sweets,23201,Belghoria
Khyber Park,18764597,Belghoria
Sutripti Sweets,18825280,Belghoria
Arai's Chinese,18878624,Belghoria
Bite O Bite Continental,18745123,Belghoria
Fresheat,18213966,Belghoria
Combo Raja,18868046,Bow Bazar
Bhim Chandra Nag,22080,Bow Bazar
Amanat Fast Food Center,18793543,Bow Bazar
Liu's Kitchen,18882400,Bow Bazar
Mio Amore,25325,Bow Bazar
Meher Caterers,18343727,Bow Bazar
Shimla Biryani,18431051,Bow Bazar
Haldiram & Sons Bhujiawala,23541,Bow Bazar
Calcutta Cafe,21227,Bow Bazar
King Khan,21753,Bow Bazar
Barbeqoa,18579439,Bow Bazar
Naba Krishna Guin,22935,Bow Bazar
Fast Food Centre,23507,Bow Bazar
Rahmania,21751,Bow Bazar
Veg @ Mirch Masala,18719613,Bow Bazar
Sri Hari Sweets,22932,Bow Bazar
Bhim Chandra Modak,22907,Bow Bazar
New Mumbai Snacks Fast Food,18265468,Bow Bazar
Jayashree,23518,Bow Bazar
Triasha Fast Food,22919,Bow Bazar
Cecil Bar & Restaurant,22530,Bow Bazar
Ganguram's,24397,Bow Bazar
The Zayka,22918,Bow Bazar
Sufi Palace,18578307,College Street
Hindusthan Dhaba,18461755,College Street
Paramount Sherbats & Syrups,22173,College Street
Indian Coffee House,21764,College Street
Triasha,22930,College Street
Dilkhusha Cabin,22406,College Street
Food Square,18556142,College Street
Putiram Sweets,22785,College Street
Kalika,23223,College Street
Mouchak,23568,College Street
Gunjan Chinese Food,22893,College Street
Quality Biryani House,18802431,College Street
Capsicum Fast Food Centre,23833,College Street
Ghosh & Co.,18143239,College Street
Kebabland,18817806,College Street
Mahal Restaurant,24691,College Street
New Royal Biryani,20733,College Street
Swadhin Bharat Hindu Hotel,23972,College Street
New College Sweets,23976,College Street
Miraj restaurant,22921,College Street
Lucknow Biryani,18697325,College Street
Padma Restaurant,18433213,College Street
Jadab Chandra Das,18593549,College Street
MRK Fast Food,22923,College Street
Amantran Family Restaurant,23763,College Street
Islamia Hotel,22891,College Street
Bindass Food Plaza,18428519,College Street
Gupta Hotel,22908,College Street
Reyaz Hotel,22909,College Street
Malaikari,18659636,College Street
Tasty Restaurant,22889,College Street
Mini Restaurant,22886,College Street
Food Carnival,22892,College Street
Peiking Chinese Restaurant,22903,College Street
CH Gope Sweets,22922,College Street
Guest Snack Bar,22888,College Street
Favourite Cabin,18440235,College Street
Yum Yum Food Corner,24268,College Street
Hotel Kichhukhon,18572652,College Street
KA's,23765,College Street
Kalpana Sweets,18429054,College Street
Shree Laxmi Mistanna Bhandar,22910,College Street
New Delhi Mishtaan Bhandar,23495,College Street
